HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,SalePrice_binned,YearBuilt_ord,prediction_sale,prediction_price_binned
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,131858,Low,4,136128.98128994135,Very Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,175221,Low,4,204501.8238147064,Medium
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,288495,Medium,5,319021.1309352843,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,190265,Low,5,262355.0330019216,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,315929,High,4,318436.0656691799,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,184070,Low,4,163243.77294388833,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,161504,Low,4,136128.98128994135,Very Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,344690,High,5,305167.8619292062,Medium
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,107079,Low,4,136277.30442362744,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,279203,Medium,4,248832.36589744547,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,495575,Very High,4,407399.13990705507,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,261061,Medium,3,347756.58483307855,High
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,415929,Very High,5,332758.3516823449,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,150442,Low,3,195374.62705855863,Low
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,367256,High,5,362579.80211734213,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,449557,Very High,4,343369.77297200356,High
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,364159,High,5,361199.6957303127,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,398230,High,4,366806.2354426668,High
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,358407,High,5,304533.59779695,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,254867,Medium,4,314471.9148425795,Medium
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107964,Low,5,108887.38704622677,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,154867,Low,4,136128.98128994135,Very Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,246017,Medium,4,248832.36589744547,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,448672,Very High,4,407399.13990705507,High
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,230088,Medium,4,268329.1992209507,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,206637,Medium,4,136128.98128994135,Very Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,331858,High,5,304533.59779695,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,282300,Medium,4,211918.53156193392,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,Low,5,202073.12886721315,Low
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,126548,Low,4,82693.72284510592,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,353982,High,5,243775.99556304934,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053,Very Low,4,59509.874316552654,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,172566,Low,4,106264.40073261224,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,181415,Low,4,262310.47870788723,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,211504,Medium,4,208415.9563617874,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,396460,High,4,366806.2354426668,High
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646,Medium,4,204501.8238147064,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,141150,Low,4,104701.19373979745,Very Low
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,61061,Very Low,3,96801.9137946954,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,225663,Medium,4,233171.3935251194,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,376106,High,4,315879.3948134156,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,320353,High,4,284510.4642824419,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,224336,Medium,4,163243.77294388833,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,230088,Medium,4,284510.4642824419,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,169911,Low,4,163243.77294388833,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,360176,High,4,349178.2617568588,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,361061,High,5,244251.69366224157,Medium
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,353982,High,5,362579.80211734213,Medium
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,212389,Medium,4,244143.33208071068,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,203539,Medium,4,283382.6596651189,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,109734,Low,4,136128.98128994135,Very Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,394690,High,4,342994.1864673621,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,200884,Medium,4,136128.98128994135,Very Low
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,277,95221,Very Low,5,107143.16068252223,Very Low
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,172566,Low,3,84816.48983647395,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,215044,Medium,4,196696.1923877881,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,292035,Medium,4,284510.4642824419,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,157522,Low,4,190358.5645978353,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,36283,Very Low,4,59509.874316552654,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,123451,Low,4,149077.2296598968,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,327433,High,4,262310.47870788723,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,336283,High,4,284510.4642824419,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,245575,Medium,3,234381.87119230675,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,253982,Medium,4,211918.53156193392,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,323389,High,4,407399.13990705507,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,172566,Low,4,149077.2296598968,Low
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72123,Very Low,3,110914.29073739285,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,143362,Low,4,149077.2296598968,Low
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,222123,Medium,4,234756.16233291477,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,116814,Low,4,104701.19373979745,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,Low,5,202073.12886721315,Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646,Medium,4,204501.8238147064,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938,Medium,4,284510.4642824419,High
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,323008,High,5,293909.6735816607,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,110619,Low,4,149077.2296598968,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,223893,Medium,4,314471.9148425795,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57964,Very Low,4,94552.96762370039,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,239823,Medium,4,163243.77294388833,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,349557,High,4,407399.13990705507,High
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,159292,Low,4,93464.47549634287,Low
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,278761,Medium,5,232293.1596290525,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,250000,Medium,4,149077.2296598968,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,255752,Medium,4,248832.36589744547,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,256637,Medium,4,294848.56685441453,Medium
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,300884,High,5,319021.1309352843,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,91150,Very Low,4,106264.40073261224,Low
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,131415,Low,3,96801.9137946954,Low
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,168141,Low,4,234756.16233291477,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,330088,High,4,393000.94132104097,Very High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143238,Low,5,202073.12886721315,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,322123,High,4,284510.4642824419,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,91592,Very Low,4,106264.40073261224,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,287610,Medium,4,238360.21897185175,Medium
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,83185,Very Low,4,93464.47549634287,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,225663,Medium,4,268329.1992209507,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,296460,Medium,3,195374.62705855863,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,Very Low,4,136128.98128994135,Very Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,406194,Very High,4,342994.1864673621,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,408849,Very High,4,407399.13990705507,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,106194,Low,4,149077.2296598968,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,141592,Low,4,136128.98128994135,Very Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,340707,High,5,304057.8996977578,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,252212,Medium,4,262310.47870788723,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,117699,Low,4,106264.40073261224,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,154424,Low,4,190358.5645978353,Medium
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,150442,Low,3,131355.08373073535,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,243362,Medium,4,208415.9563617874,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,300884,High,3,300821.0390461297,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,174336,Low,3,195374.62705855863,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,203539,Medium,4,283382.6596651189,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442,Medium,5,244251.69366224157,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345,Medium,5,244251.69366224157,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,435398,Very High,4,382001.4306011102,High
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,210619,Medium,4,234756.16233291477,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,147787,Low,3,160965.79788366705,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,161946,Low,4,248832.36589744547,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,64601,Very Low,4,94552.96762370039,Very Low
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,98761,Very Low,5,108887.38704622677,Very Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,95132,Very Low,4,105335.45787205361,Very Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,324778,High,4,211918.53156193392,Medium
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,498,61946,Very Low,3,82689.53685199795,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,130088,Low,4,149077.2296598968,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,119469,Low,4,149077.2296598968,Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,201672,Medium,4,204501.8238147064,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,83185,Very Low,4,106264.40073261224,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,34513,Very Low,4,59509.874316552654,Very Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,63716,Very Low,4,94552.96762370039,Very Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,302654,High,3,195374.62705855863,Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,187610,Low,4,204501.8238147064,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,371681,High,3,300821.0390461297,High
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,60176,Very Low,4,94552.96762370039,Very Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,371681,High,4,290884.41602781415,Medium
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,60176,Very Low,5,69797.15424764017,Very Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,323893,High,4,290884.41602781415,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,97345,Very Low,4,136128.98128994135,Very Low
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,55752,Very Low,3,96801.9137946954,Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,292035,Medium,5,293909.6735816607,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,Very Low,4,136128.98128994135,Very Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,190265,Low,4,204501.8238147064,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,270796,Medium,4,190358.5645978353,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,212389,Medium,4,283382.6596651189,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,181415,Low,3,224233.64507620968,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,281592,Medium,4,310032.06591678737,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,465486,Very High,4,382001.4306011102,High
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,262831,Medium,5,261720.76886966545,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,150442,Low,4,149077.2296598968,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,415929,Very High,4,407399.13990705507,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,194690,Low,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,318584,High,5,244251.69366224157,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,469026,Very High,4,407399.13990705507,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,317699,High,4,315879.3948134156,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,69026,Very Low,4,59509.874316552654,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256,Very Low,4,136128.98128994135,Very Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,138053,Low,4,94552.96762370039,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,195575,Low,4,136128.98128994135,Very Low
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,86725,Very Low,4,96330.4016886116,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,36283,Very Low,4,59509.874316552654,Very Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,265486,Medium,3,195374.62705855863,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,51327,Very Low,4,59509.874316552654,Very Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,181415,Low,4,208415.9563617874,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,Low,5,202073.12886721315,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,396460,High,4,290884.41602781415,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,238938,Medium,3,224233.64507620968,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,234513,Medium,4,262310.47870788723,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,199115,Low,4,163243.77294388833,Low
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108849,Low,3,67611.53843900049,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955,Very Low,4,106264.40073261224,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,236283,Medium,4,262310.47870788723,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530,Medium,4,190358.5645978353,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053,Very Low,4,59509.874316552654,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,127433,Low,4,149077.2296598968,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778,Low,5,202073.12886721315,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,508849,Extreme,4,407399.13990705507,High
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,279646,Medium,4,234756.16233291477,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,295575,Medium,4,342994.1864673621,High
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,108407,Low,3,67611.53843900049,Very Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,265486,Medium,4,290884.41602781415,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,312389,High,4,366806.2354426668,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796,High,4,349178.2617568588,High
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,290000,Medium,4,310032.06591678737,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,247787,Medium,4,268329.1992209507,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,201769,Medium,4,233171.3935251194,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,360176,High,4,407399.13990705507,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,233628,Medium,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,408849,Very High,4,407399.13990705507,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,127433,Low,4,149077.2296598968,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,296460,Medium,4,208415.9563617874,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,387610,High,4,349178.2617568588,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,172566,Low,4,149077.2296598968,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938,Medium,4,284510.4642824419,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831,Very High,4,382001.4306011102,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,199115,Low,4,192717.9190884498,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,176991,Low,4,106264.40073261224,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,309734,High,5,244251.69366224157,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,Low,5,202073.12886721315,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,163716,Low,4,234227.18941527372,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,215486,Medium,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,209734,Medium,4,284510.4642824419,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,222123,Medium,4,149077.2296598968,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840,Very Low,4,136128.98128994135,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,246017,Medium,4,149077.2296598968,Low
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,201769,Medium,3,84816.48983647395,Low
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,1035,455752,Very High,5,381020.4498633146,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,357522,High,4,325551.9228303204,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,284070,Medium,4,208415.9563617874,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,380530,High,4,393000.94132104097,Very High
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,130088,Low,3,104478.67793641193,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,209734,Medium,4,208415.9563617874,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,202654,Medium,4,136128.98128994135,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761,Low,5,202073.12886721315,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,121238,Low,4,149077.2296598968,Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,327433,High,5,304057.8996977578,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,333628,High,5,304533.59779695,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,283185,Medium,4,208415.9563617874,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,184955,Low,3,160965.79788366705,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,247787,Medium,4,294848.56685441453,Medium
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,362831,High,5,362579.80211734213,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,432743,Very High,4,290884.41602781415,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,291238,Medium,4,314471.9148425795,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,35840,Very Low,4,59509.874316552654,Very Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,246017,Medium,3,160965.79788366705,Low
